iter	Passed	Remaining
0	52	52431
1	54	27188
2	56	18847
3	58	14557
4	59	11821
5	60	10056
6	61	8736
7	63	7886
8	64	7100
9	65	6476
10	66	5955
11	67	5530
12	68	5187
13	69	4870
14	69	4590
15	70	4343
16	71	4123
17	72	3934
18	73	3771
19	73	3617
20	74	3486
21	75	3358
22	76	3249
23	77	3155
24	78	3074
25	79	2990
26	82	2956
27	84	2916
28	85	2850
29	86	2782
30	86	2716
31	87	2655
32	88	2598
33	89	2553
34	90	2506
35	91	2460
36	92	2416
37	93	2375
38	95	2342
39	96	2305
40	97	2269
41	97	2234
42	98	2201
43	100	2173
44	101	2146
45	102	2118
46	103	2089
47	104	2062
48	104	2037
49	105	2012
50	107	1994
51	108	1971
52	109	1949
53	110	1927
54	110	1906
55	112	1889
56	113	1870
57	113	1849
58	114	1830
59	115	1812
60	116	1794
61	117	1783
62	118	1767
63	119	1750
64	120	1736
65	121	1721
66	122	1706
67	123	1691
68	124	1681
69	125	1667
70	126	1654
71	127	1641
72	128	1628
73	129	1618
74	130	1607
75	131	1594
76	132	1583
77	132	1571
78	133	1560
79	134	1551
80	135	1542
81	136	1533
82	137	1518
83	138	1513
84	140	1512
85	142	1512
86	143	1510
87	146	1515
88	147	1511
89	148	1502
90	149	1492
91	150	1482
92	151	1473
93	151	1464
94	152	1454
95	153	1447
96	154	1438
97	155	1430
98	156	1421
99	157	1414
100	157	1406
101	158	1398
102	159	1390
103	160	1382
104	161	1376
105	162	1369
106	163	1362
107	164	1355
108	165	1348
109	166	1343
110	167	1338
111	167	1331
112	168	1324
113	169	1318
114	170	1311
115	171	1305
116	171	1297
117	172	1291
118	173	1285
119	174	1279
120	175	1273
121	176	1267
122	177	1262
123	177	1257
124	178	1251
125	179	1246
126	180	1239
127	181	1234
128	182	1229
129	183	1224
130	183	1219
131	184	1214
132	185	1208
133	186	1203
134	187	1198
135	187	1193
136	188	1189
137	189	1184
138	190	1180
139	192	1180
140	194	1182
141	194	1175
142	197	1181
143	198	1182
144	200	1183
145	202	1183
146	204	1185
147	208	1197
148	209	1194
149	210	1190
150	210	1185
